Are you interested in being a Team Representative? ,d580f6fedb5a7e8e112798ba7215c376,d544872a7a31ad80d4ec06d2ab3c106b,aed5a51831f1e9b3ea1d17ba844d32cd,d8576d770bc1e39ea2fec0dfef9c88a9,9c7028fd2f6e7005972bf543a45b2e06,a1ef38fb26b1b81ea66f46b5dc3e10c7,1ed3ddcaa6fab66fdd8673d0de207c3c,5ce679da3f7693e797ab5fc5b5fb5ccd,058754028b379782720a5f1f2d3e5311,889e7cf1f694a813051e599ade1a90e0,f51e4de107872409c4486cd4881297fb,21a0065e54f798bad719b2afe776f71c,e93be764a63e55196107e7e2ab6e957b,2b61e0b345dbfadd1a49bd03b7b789c6,id name,email anonymized,anonymized group preference
No,4th,8th,1st,6th,3rd,2nd,5th,7th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,8e08a53cf6dc49f5afaccec026ed172b,cf9da551439aabd1c76218edc7a72c26,[]
No,7th,8th,2nd,1st,3rd,6th,5th,4th,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,cfa04ceba171caa0effadd087426330d,9c58e1512819ff94785865a622fa2ef3,['89bf263b6abcf8d37c292e5037444619']
No,7th,8th,2nd,1st,3rd,6th,5th,4th,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",c35969d3f03be44b9d83bd45b0fe407d,89bf263b6abcf8d37c292e5037444619,['9c58e1512819ff94785865a622fa2ef3']
No,2nd,6th,1st,3rd,5th,8th,4th,7th,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",7e29ec46b236dce72fabf4bbeadd918d,32dcea6f67132fd386a6005769f41bac,['89bf263b6abcf8d37c292e5037444619']
Maybe,3rd,7th,4th,2nd,8th,6th,1st,5th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,78593a6d6554ce1acf48b5ffe492c4b5,4b68bd660a52bcba247dde2b02195e58,[]
No,4th,5th,3rd,6th,7th,8th,1st,2nd,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",0d4a9b4d08e92349f1f1de4ca5cf03c9,44e43f81c426a374b70d39c12c06f3bd,"['e4f0e96431283bed150e1e4588c14048', 'e37183209d98ec8a5d9e25932114b52f']"
Yes,1st,6th,2nd,3rd,5th,4th,8th,7th,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",82f80e3bcd5b93e78a4f95d8e41ad87f,7e8410d745b99086ace602c30f5d915b,['a7292d6bc317fa43aaa86a1ccc03621a']
No,1st,5th,4th,2nd,6th,8th,3rd,7th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",4b3039783698407337b081a461ed7763,9df7ec6e944f0a3f3f4cbcdd98cd30f2,['0c3979d3d66b194f5f87f7a757a98aba']
Yes,4th,8th,3rd,2nd,7th,5th,1st,6th,I am currently enrolled in this lab section,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",ae6f1da351ffa85fe8f792583d15f6b0,48ec8d2e20b74dded81f69f3dff16502,[]
Yes,8th,7th,4th,1st,2nd,5th,6th,3rd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,b97f36c4e7c083e4f56b67ffa14c87cf,d09e88e4c9dba155f717a23fe80606ef,"['6a6ce7632dbc5ae6a0abf24f776dc692', '0784938411ee1af154e09e087488c168']"
No,5th,4th,3rd,2nd,6th,7th,1st,8th,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,d1c5a104426f24bc2b4c54f9694f9310,90a1e95dba0d3d9c11e3f220cc4f7879,['6d598536e10c91148b13d3f75972fab4']
Maybe,3rd,4th,1st,2nd,6th,7th,8th,5th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,98f73339ab77930d8fee7017a2ccd216,5d9cdbe51bc65b169564fda0b93c2731,"['badde86deac09ed20930e45c1c5ba0fd', '6023789e43542942d3c5751e49359611']"
Maybe,6th,3rd,8th,4th,5th,2nd,7th,1st,I am not available,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,1d0eb6457b2cf04fd0dd334505991584,0ade805222fb6446f94624ebec67e33e,[]
Maybe,4th,5th,3rd,2nd,8th,7th,1st,6th,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,e8942ae7c3fdeb69c3b1a84bb4eb99c3,ba29a7911fcd66b86ce1c54a0fa43dd0,[]
Maybe,4th,5th,3rd,2nd,6th,7th,1st,8th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",2b51772405373ecb08c1fd018b378f78,a37eebe2f1860562dcda5073616afc16,[]
No,1st,3rd,7th,6th,4th,5th,8th,2nd,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,64b9067c817b1107502e9ee2ffd45333,8ceb0c15325cd799a926f3d9d0242a58,[]
Maybe,6th,7th,8th,3rd,5th,2nd,1st,4th,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,27af0ad9e79315022cc467de3cddecdd,39ea6348b1d65095c0e4c71c900f4422,[]
No,5th,2nd,4th,1st,6th,8th,3rd,7th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,f9d4f4dbb644cb807595162b9c449450,36905bdf8282ea1bd0dd01508f684762,[]
Maybe,3rd,6th,1st,2nd,5th,8th,7th,4th,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",720ab932e6fea05d40e045e0c73bc264,b61072c997a1e2a6a7a64142933438c2,[]
